data,IPCA_mensal,Selic,Cambio,Desemprego,IPCA_12m
2020-01-01,"0,21","0,38","4,5","93,56556",
2020-02-01,"0,25","0,29","4,5","94,01958",
2020-03-01,"0,07","0,34","4,25","95,26169",
2020-04-01,"-0,31","0,28","3,75","83,69457",
2020-05-01,"-0,38","0,24","3,75","84,23566",
2020-06-01,"0,26","0,21","3,0","88,856",
2020-07-01,"0,36","0,19","2,25","95,42902",
2020-08-01,"0,24","0,16","2,25","94,94928",
2020-09-01,"0,64","0,16","2,0","95,78332",
2020-10-01,"0,86","0,16","2,0","97,82309",
2020-11-01,"0,89","0,15","2,0","96,62698",
2020-12-01,"1,35","0,16","2,0","97,50343","4,517341500509886"
2021-01-01,"0,25","0,15","2,0","91,88279","4,559060826525441"
2021-02-01,"0,86","0,13","2,0","94,06492","5,195280548262882"
2021-03-01,"0,93","0,2","2,0","101,08822","6,09932712837189"
2021-04-01,"0,31","0,21","2,75","97,40163","6,7591885269032925"
2021-05-01,"0,83","0,27","2,75","96,01579","8,055902220112966"
2021-06-01,"0,53","0,31","3,5","96,46364","8,346896570795526"
2021-07-01,"0,96","0,36","4,25","99,83515","8,994646052087663"
2021-08-01,"0,87","0,43","4,25","99,19471","9,679668268895437"
2021-09-01,"1,16","0,44","5,25","97,10229","10,246375616866722"
2021-10-01,"1,25","0,49","6,25","96,5306","10,672670347092584"
2021-11-01,"0,95","0,59","7,75","97,85541","10,738488170671022"
2021-12-01,"0,73","0,77","7,75","99,31872","10,061054893257904"
2022-01-01,"0,54","0,73","9,25","91,67792","10,379435999682297"
2022-02-01,"1,01","0,76","9,25","95,6409","10,543593400038787"
2022-03-01,"1,62","0,93","10,75","104,52811","11,299315974556002"
2022-04-01,"1,06","0,83","11,75","100,22885","12,13148113237592"
2022-05-01,"0,47","1,03","11,75","99,74864","11,73113070881493"
2022-06-01,"0,67","1,02","12,75","99,3134","11,886729617590742"
2022-07-01,"-0,68","1,03","13,25","103,95829","10,06923519828753"
2022-08-01,"-0,36","1,17","13,25","104,51622","8,727060525006136"
2022-09-01,"-0,29","1,07","13,75","101,18649","7,168596332032062"
2022-10-01,"0,59","1,02","13,75","100,08007","6,470015852238076"
2022-11-01,"0,41","1,02","13,75","99,15338","5,900488278585692"
2022-12-01,"0,62","1,12","13,75","99,96775","5,784841959607756"
2023-01-01,"0,53","1,12","13,75","95,09765","5,774320292414625"
2023-02-01,"0,84","0,92","13,75","98,65175","5,596301933344128"
2023-03-01,"0,71","1,17","13,75","110,6159","4,65069442734789"
2023-04-01,"0,61","0,92","13,75","104,03928","4,184705782064824"
2023-05-01,"0,23","1,12","13,75","102,71672","3,935832194051536"
2023-06-01,"-0,08","1,07","13,75","102,2809","3,161501468457617"
2023-07-01,"0,12","1,07","13,75","105,34289","3,992443888662711"
2023-08-01,"0,23","1,14","13,75","106,05936","4,608216087521688"
2023-09-01,"0,26","0,97","13,25","101,75832","5,185234629775626"
2023-10-01,"0,24","1,0","12,75","101,93091","4,819245643589931"
2023-11-01,"0,28","0,92","12,75","101,68306","4,683537029570672"
2023-12-01,"0,56","0,89","12,25","101,68292","4,621113930566789"
2024-01-01,"0,42","0,97","11,75","99,29383","4,5066374306924395"
2024-02-01,"0,83","0,8","11,25","102,15169","4,496273821268559"
2024-03-01,"0,16","0,83","11,25","109,56886","3,925596126881703"
2024-04-01,"0,38","0,89","10,75","109,2559","3,6880164915653157"
2024-05-01,"0,46","0,83","10,75","104,71434","3,92595167856582"
2024-06-01,"0,21","0,79","10,5","105,86962","4,227578239682583"
2024-07-01,"0,38","0,91","10,5","111,51388","4,498245142821999"
2024-08-01,"-0,02","0,87","10,5","110,06483","4,2375990160564925"
2024-09-01,"0,44","0,84","10,5","107,08167","4,4247401273958875"
2024-10-01,"0,56","0,93","10,75","109,18693","4,7580992339478545"
2024-11-01,"0,39","0,79","10,75","105,49025","4,87301138907088"
2024-12-01,"0,52","0,93","11,25","104,15997","4,831295791859591"
2025-01-01,"0,16","1,01","12,25","102,72834","4,559874392677332"
2025-02-01,"1,31","0,99","13,25","106,92609","5,057630414778758"
2025-03-01,"0,56","0,96","13,25","114,11998","5,477189641674851"
2025-04-01,"0,43","1,06","14,25","112,69428","5,52972858849774"
2025-05-01,"0,26","1,14","14,25","108,65566","5,319635559255276"
2025-06-01,"0,24","1,1","14,75","107,4594","5,35116523759851"
2025-07-01,"0,26","1,28","15,0","113,21721","5,225222422012621"
2025-08-01,"-0,11","1,16","15,0","110,47825","5,130500777503921"
2025-09-01,"0,48","1,22","15,0","109,57602","5,172368758697643"
2025-10-01,"0,09","1,28","15,0","110,16742","4,680811347037062"
2025-11-01,"0,18","1,05","15,0","106,69062","4,4618356484328325"
2025-12-01,"0,33","1,22","15,0","107,27827","4,264384904568952"
2026-01-01,"0,33","1,16","15,0","103,80093","4,44135121281346"
2026-02-01,"0,7","1,0","15,0","106,7205","3,812496961112588"
2026-03-01,"0,88","1,21","15,0","117,92682","4,142846991219562"
2026-04-01,"0,67","1,09","14,75","113,72712","4,39171967147336"
